Attack,ERM,DA,PGDT,TRADES,MART,RS,IBP,PRL,TandT
No Attack,94.85,94.21,84.38,80.42,81.54,89.45,48.4,93.82,94.23
TIFGSM,35.1,33,65.7,62.9,69.1,45.4,40.2,34,92.8
MIFGSM,0,0,50.9,51.9,50.5,5.8,38.1,0,92.8
DIFGSM,1,0,51.75,50.5,53.6,4.1,38.1,3.1,92.8
VMIFGSM,0,0,51.1,50.9,51.9,4.1,38.1,0,93.9
TPGD,38.1,39.2,69.3,69.1,70.1,48.5,50,28.9,91.8
FGSM,29.9,25.8,57.95,54.6,61.9,28.9,38.1,25.8,93.8
RFGSM,0,0,49.15,50.4,48.5,3.7,38.1,0,90
BIM,0,0,52,57.2,47.4,2.1,38.1,0,90.7
FAB,1,2.1,43,46.4,40.2,5.3,38.1,4.1,90.1
CW,0,0,32.2,35.1,29.9,1,40.2,1,92.9
UPGD,0,0,49.85,50.5,49.8,5.1,38.1,0,93.8
FFGSM,19.6,23.7,60.55,55.7,66,33,42.3,29.9,92.8
Jitter,11.3,12.4,48.15,47.4,49.5,34,39.2,24.7,90.7
PGD,0,0,57.4,54.6,60.8,7.2,40.2,0,91.8
EOTPGD,0,0,50.1,50.3,50.5,3,38.1,0,90.7
APGD,0,0,48.4,51,46.4,1,38.1,0,90.7
NIFGSM,0,0,57.95,56.7,59.8,7.2,38.1,1,92.8
SiniFGSM,4.1,1,59,56.7,61.9,23.7,38.1,12.4,93.7
VNIFGSM,0,0,50.45,53,48.5,5.1,38.1,0,92.9
APGDT,0,0,40.9,44.3,38.1,0,38.1,0,88.7
Square,0,1,50.4,54,47.4,3.1,38.1,2.1,88.08
Add Gaussian Noise,25.8,43.3,79.1,78.4,80.4,74.2,42.3,45.4,87.6
OnePixel,79.4,83.5,78.05,74.2,82.5,83.5,42.5,80.4,89.7
Pixle,0,0,12.55,11.3,14.4,1,10.3,0,17.5
PGDL2,1,0,35.8,36.1,36.1,5.2,36.1,0,92.9